EpThisIter,EpisodesSoFar,entloss,TimestepsSoFar,EpRewMean,entropy,EpLenMean,TimeElapsed,ev_tdlam_before,surrgain,optimgain,meankl
21,14049,0.0,702450,-5.329697773494286,-3.700706,50.0,323.81396651268005,0.9273335039615631,0.042218454,0.042218454,0.010191428
20,14069,0.0,703450,-5.36092749285643,-3.698547,50.0,324.2635006904602,0.8931382670998573,0.07316063,0.07316063,0.011217973
21,14090,0.0,704500,-5.613230079889379,-3.7003498,50.0,324.71094155311584,0.9590064324438572,0.032974254,0.032974254,0.011994975
20,14110,0.0,705500,-5.414136524312633,-3.7014837,50.0,325.18355655670166,0.9679298289120197,0.0467529,0.0467529,0.010204102
21,14131,0.0,706550,-5.321512551643074,-3.7002032,50.0,325.647367477417,0.955150917172432,0.035403363,0.035403363,0.010483248
20,14151,0.0,707550,-5.321000812711397,-3.7030926,50.0,326.09910559654236,0.9637960679829121,0.042662963,0.042662963,0.011038428
21,14172,0.0,708600,-4.748249946336489,-3.700988,50.0,326.54677987098694,0.9587719589471817,0.038780496,0.038780496,0.011386353
20,14192,0.0,709600,-4.846347582559751,-3.7019897,50.0,327.00235986709595,0.9481107406318188,0.027373914,0.027373914,0.009971186
21,14213,0.0,710650,-4.794011096589217,-3.6982791,50.0,327.4545090198517,0.961570244282484,0.055458087,0.055458087,0.010175167
20,14233,0.0,711650,-4.8224976819715675,-3.7038817,50.0,327.90323996543884,0.9565366134047508,0.03856738,0.03856738,0.0097184405
21,14254,0.0,712700,-5.406328097115272,-3.7036824,50.0,328.36424350738525,0.9448621720075607,0.085293025,0.085293025,0.013785073
20,14274,0.0,713700,-5.673179201480557,-3.7008054,50.0,328.81598258018494,0.979050986468792,0.050549053,0.050549053,0.009869299
21,14295,0.0,714750,-5.088135312246485,-3.7041385,50.0,329.2750759124756,0.9633557312190533,0.03864608,0.03864608,0.010538952
20,14315,0.0,715750,-5.549909654063247,-3.7051759,50.0,329.73292422294617,0.9792754352092743,0.03573808,0.03573808,0.00968579
21,14336,0.0,716800,-5.670394692475488,-3.7051408,50.0,330.1857626438141,0.9008570984005928,0.04916907,0.04916907,0.010947386
20,14356,0.0,717800,-5.15808684129456,-3.7017817,50.0,330.6390070915222,0.9728460274636745,0.035996787,0.035996787,0.010338584
20,14376,0.0,718800,-5.023838802504288,-3.7012043,50.0,331.0916426181793,0.9408181682229042,0.037695058,0.037695058,0.010112561
21,14397,0.0,719850,-5.258757807218548,-3.7029092,50.0,331.54044556617737,0.9726341776549816,0.03361301,0.03361301,0.010366486
20,14417,0.0,720850,-5.800684940701918,-3.7023249,50.0,331.99984788894653,0.9190347716212273,0.029077783,0.029077783,0.01006666
21,14438,0.0,721900,-5.36380967886872,-3.7041,50.0,332.45353174209595,0.9527483396232128,0.0552563,0.0552563,0.010166728
20,14458,0.0,722900,-5.277938891101213,-3.705292,50.0,332.90613532066345,0.921401783823967,0.03420315,0.03420315,0.010777384
21,14479,0.0,723950,-6.519069759702933,-3.7071822,50.0,333.35755920410156,0.9053106904029846,0.03994952,0.03994952,0.0106226355
20,14499,0.0,724950,-6.190770097528363,-3.7064576,50.0,333.8009057044983,0.9597475677728653,0.035235457,0.035235457,0.009983843
21,14520,0.0,726000,-5.821992305896415,-3.710146,50.0,334.25125098228455,0.9697650671005249,0.029292414,0.029292414,0.010465197
20,14540,0.0,727000,-6.603253982651546,-3.7102127,50.0,334.7111608982086,0.9539422765374184,0.045613006,0.045613006,0.010783287
21,14561,0.0,728050,-5.680672460371786,-3.7103496,50.0,335.17330527305603,0.9506110586225986,0.030464016,0.030464016,0.009357341
20,14581,0.0,729050,-4.761875243798336,-3.7043233,50.0,335.6302161216736,0.9461444728076458,0.050937295,0.050937295,0.011024553
21,14602,0.0,730100,-5.293803172068953,-3.703156,50.0,336.0824158191681,0.966181006282568,0.036494695,0.036494695,0.0110003725
20,14622,0.0,731100,-5.480554673200521,-3.7104814,50.0,336.5319721698761,0.9709112551063299,0.040047333,0.040047333,0.010050026
21,14643,0.0,732150,-5.639515949010384,-3.708901,50.0,336.98569917678833,0.8435114026069641,0.056637596,0.056637596,0.009758113
20,14663,0.0,733150,-5.606654498400397,-3.713471,50.0,337.44260931015015,0.9609188139438629,0.029953517,0.029953517,0.0100245755
21,14684,0.0,734200,-5.577591219237237,-3.713128,50.0,337.9070065021515,0.8657371699810028,0.0271791,0.0271791,0.012741399
20,14704,0.0,735200,-5.3480935323896635,-3.7176518,50.0,338.3724105358124,0.9735911209136248,0.030542191,0.030542191,0.010879447
21,14725,0.0,736250,-5.20417825609772,-3.7156754,50.0,338.82834911346436,0.9626309461891651,0.042610828,0.042610828,0.010977554
20,14745,0.0,737250,-5.525640897219786,-3.718453,50.0,339.28203225135803,0.9340537711977959,0.051266223,0.051266223,0.010454627
21,14766,0.0,738300,-5.52622564959497,-3.7144084,50.0,339.72887563705444,0.9740416016429663,0.039277393,0.039277393,0.009840208
20,14786,0.0,739300,-5.821761041767539,-3.7138958,50.0,340.17746567726135,0.9490245766937733,0.04678929,0.04678929,0.011111501
21,14807,0.0,740350,-5.8028610812556725,-3.7170718,50.0,340.6245141029358,0.9745897930115461,0.03609522,0.03609522,0.009367988
20,14827,0.0,741350,-5.33116457416534,-3.712152,50.0,341.0852630138397,0.9600337408483028,0.025587643,0.025587643,0.010216037
21,14848,0.0,742400,-5.600820227966574,-3.7121882,50.0,341.5441391468048,0.9338313490152359,0.037571862,0.037571862,0.010137808
20,14868,0.0,743400,-4.924601291041627,-3.7124958,50.0,341.986852645874,0.9368616119027138,0.04023077,0.04023077,0.010231813
20,14888,0.0,744400,-5.392125872252647,-3.7093196,50.0,342.4424295425415,0.9450147897005081,0.03792867,0.03792867,0.010251791
21,14909,0.0,745450,-6.143544335694375,-3.7100239,50.0,342.89445400238037,0.9459054209291935,0.0374998,0.0374998,0.00963708
20,14929,0.0,746450,-5.5039725107172,-3.7117548,50.0,343.3502426147461,0.9705058727413416,0.08179249,0.08179249,0.010349148
21,14950,0.0,747500,-5.838960094139926,-3.7117982,50.0,343.8027238845825,0.9120572060346603,0.03748787,0.03748787,0.010238414
20,14970,0.0,748500,-6.4453424465214395,-3.7159123,50.0,344.2589781284332,0.9444481283426285,0.0311951,0.0311951,0.009954374
21,14991,0.0,749550,-5.68883230748493,-3.7196355,50.0,344.70774960517883,0.9548389613628387,0.031446975,0.031446975,0.010165878
20,15011,0.0,750550,-5.600421514924157,-3.7150335,50.0,345.1718873977661,0.9384238608181477,0.12034764,0.12034764,0.0096128415
21,15032,0.0,751600,-5.537956991140774,-3.713074,50.0,345.6377773284912,0.9521330371499062,0.0416329,0.0416329,0.010446408
20,15052,0.0,752600,-4.835501665996479,-3.7163315,50.0,346.08369970321655,0.9512557424604893,0.033510655,0.033510655,0.009828922
21,15073,0.0,753650,-5.138651701119604,-3.7171712,50.0,346.5287926197052,0.8490478247404099,0.048208944,0.048208944,0.01058301
20,15093,0.0,754650,-5.152293983333588,-3.7179794,50.0,346.9777743816376,0.9621847458183765,0.03317365,0.03317365,0.012068742
21,15114,0.0,755700,-4.762390186782109,-3.7212217,50.0,347.44149923324585,0.985408972017467,0.035560817,0.035560817,0.010388242
20,15134,0.0,756700,-5.006601572958085,-3.7208843,50.0,347.8919634819031,0.9678833670914173,0.031797443,0.031797443,0.010201985
21,15155,0.0,757750,-5.751564317646983,-3.7226255,50.0,348.3396828174591,0.9203841909766197,0.03105376,0.03105376,0.009688575
20,15175,0.0,758750,-5.909472398557764,-3.7256856,50.0,348.79214572906494,0.9662155658006668,0.04129739,0.04129739,0.009915711
21,15196,0.0,759800,-5.253733578140789,-3.7284484,50.0,349.2451386451721,0.9703410379588604,0.040459257,0.040459257,0.011617908
20,15216,0.0,760800,-5.4265985720171965,-3.7257013,50.0,349.6975688934326,0.967323400080204,0.035146587,0.035146587,0.01021526
21,15237,0.0,761850,-5.27360760365576,-3.728599,50.0,350.1506860256195,0.9639340713620186,0.026959535,0.026959535,0.010451682
20,15257,0.0,762850,-4.962776322954859,-3.7291489,50.0,350.6072301864624,0.9317784607410431,0.03941088,0.03941088,0.010260884
21,15278,0.0,763900,-5.201627976070115,-3.72898,50.0,351.06280303001404,0.9664144031703472,0.04284452,0.04284452,0.010431344
20,15298,0.0,764900,-5.397433498388494,-3.7268133,50.0,351.5172653198242,0.9589128755033016,0.033742294,0.033742294,0.01008955
21,15319,0.0,765950,-5.261525646415315,-3.7278144,50.0,351.97606468200684,0.9384150691330433,0.04550875,0.04550875,0.009522352
20,15339,0.0,766950,-5.52137757604936,-3.7284012,50.0,352.4312365055084,0.9479694403707981,0.038347255,0.038347255,0.01025057
21,15360,0.0,768000,-5.344300420645754,-3.7324214,50.0,352.8779923915863,0.9343069046735764,0.040334523,0.040334523,0.010062358
20,15380,0.0,769000,-5.601831938317586,-3.7301269,50.0,353.33204340934753,0.9599375389516354,0.04434488,0.04434488,0.010907911
20,15400,0.0,770000,-6.408553816653944,-3.732084,50.0,353.7902193069458,0.9618626087903976,0.0409047,0.0409047,0.011806972
