entropy,surrgain,optimgain,TimeElapsed,EpisodesSoFar,EpRewMean,meankl,entloss,EpLenMean,TimestepsSoFar,ev_tdlam_before,EpThisIter
1.2524805,0.005366685,0.005366685,186.74851179122925,1560,0.625,0.00086548075,0.0,48.75,56775,-0.011960029602050781,13
1.2709348,0.006841179,0.006841179,188.49163365364075,1571,0.55,0.00073019793,0.0,45.475,57320,0.0037775039672851562,11
1.2921771,0.007351041,0.007351041,190.211811542511,1579,0.575,0.0006055794,0.0,46.7,57822,-0.020363926887512207,8
1.2688298,0.009499915,0.009499915,192.09817337989807,1588,0.6,0.0011374574,0.0,48.625,58298,0.012587487697601318,9
1.2644382,0.0037074015,0.0037074015,193.68391060829163,1599,0.65,0.0003261284,0.0,51.575,58815,0.013265252113342285,11
1.2332467,0.006591223,0.006591223,195.27550148963928,1613,0.575,0.0014381905,0.0,47.875,59378,0.0008487701416015625,14
1.2653757,0.008551573,0.008551573,196.9372365474701,1620,0.575,0.00088338007,0.0,47.95,59860,-0.021454930305480957,7
1.2222606,0.0053060874,0.0053060874,198.68559098243713,1633,0.55,0.00094941247,0.0,46.0,60398,0.006789863109588623,13
1.223147,0.004586123,0.004586123,200.32894372940063,1651,0.45,0.00034385067,0.0,41.7,60927,0.01312321424484253,18
1.210487,0.0057256594,0.0057256594,201.8954885005951,1666,0.225,0.00071579183,0.0,31.3,61418,0.003386199474334717,15
1.21244,0.004547159,0.004547159,203.5999414920807,1676,0.325,0.001478629,0.0,35.725,61942,0.0004825592041015625,10
1.2003095,0.0025392976,0.0025392976,205.21222519874573,1695,0.275,0.0007908992,0.0,33.95,62450,0.012041330337524414,19
1.2228625,0.004737746,0.004737746,206.96408319473267,1704,0.4,0.00036204152,0.0,39.525,62953,-0.006172776222229004,9
1.2280227,0.007307507,0.007307507,208.60608339309692,1715,0.375,0.0007648049,0.0,38.95,63477,0.0038083791732788086,11
1.214128,0.003678877,0.003678877,210.26186323165894,1722,0.5,0.00033385085,0.0,44.45,63929,-0.024890661239624023,7
1.2224215,0.008777,0.008777,211.98459720611572,1737,0.625,0.00092485757,0.0,50.025,64497,0.02860468626022339,15
1.1928546,0.007646447,0.007646447,213.64321541786194,1750,0.45,0.0009461338,0.0,41.125,65011,-0.004015803337097168,13
1.2151625,0.0056999736,0.0056999736,215.32556653022766,1770,0.2,0.0010877757,0.0,30.0,65536,0.01901376247406006,20
1.2083416,0.003188558,0.003188558,216.9915907382965,1786,0.2,0.00057388085,0.0,29.75,66038,0.009583830833435059,16
1.2191572,0.008055486,0.008055486,218.64892649650574,1798,0.3,0.0013475466,0.0,34.1,66557,-0.002267003059387207,12
1.2224358,0.005067896,0.005067896,220.27761840820312,1815,0.275,0.00030978027,0.0,33.6,67064,0.02114635705947876,17
1.2125165,0.008391853,0.008391853,221.875159740448,1831,0.275,0.0010410296,0.0,33.6,67495,0.015701115131378174,16
1.239066,0.0030116811,0.0030116811,223.57355403900146,1842,0.3,0.0004340371,0.0,34.95,68096,0.0007044076919555664,11
1.2200258,0.0026786271,0.0026786271,225.28454184532166,1860,0.25,7.8771634e-05,0.0,33.175,68575,0.01784306764602661,18
1.2239,0.0056609623,0.0056609623,226.84036684036255,1871,0.425,0.0010871494,0.0,39.975,69094,0.010601043701171875,11
1.2177688,0.0075312294,0.0075312294,228.51366090774536,1888,0.325,0.0011065918,0.0,34.675,69621,0.008961319923400879,17
1.2066104,0.0054831114,0.0054831114,230.22795343399048,1896,0.525,0.0006227601,0.0,43.1,70138,0.0149422287940979,8
1.2135944,0.00049427897,0.00049427897,231.89239192008972,1907,0.475,0.0012132605,0.0,41.35,70585,0.00902646780014038,11
1.2211635,0.0070854723,0.0070854723,233.58285570144653,1917,0.55,0.0008620857,0.0,45.15,71109,-0.0060547590255737305,10
1.2343796,0.008924883,0.008924883,235.3357231616974,1923,0.725,0.0008704934,0.0,53.275,71564,-0.012886643409729004,6
1.2234315,0.0013840823,0.0013840823,236.99362897872925,1938,0.6,0.00010904844,0.0,48.575,72125,0.03560054302215576,15
1.2078116,0.014587432,0.014587432,238.6163523197174,1956,0.425,0.0012502675,0.0,41.65,72704,0.02812790870666504,18
1.2331684,0.0034951419,0.0034951419,240.23335528373718,1968,0.275,0.00057539606,0.0,34.35,73150,0.023426711559295654,12
1.227082,0.008414275,0.008414275,241.89260816574097,1979,0.35,0.0010402703,0.0,38.15,73723,0.008038759231567383,11
1.2171177,0.010581583,0.010581583,243.53969860076904,1988,0.5,0.0007316328,0.0,44.35,74225,-0.01386415958404541,9
1.2177014,0.008762263,0.008762263,245.43119072914124,2003,0.55,0.0011104279,0.0,46.925,74742,0.02903956174850464,15
1.2305936,0.004154023,0.004154023,247.12064576148987,2016,0.475,0.00032693433,0.0,43.8,75258,0.01977837085723877,13
1.2069027,0.0015305504,0.0015305504,248.8362934589386,2028,0.35,0.0010657664,0.0,37.325,75718,0.0005183219909667969,12
1.2180867,0.012040187,0.012040187,250.52169466018677,2044,0.375,0.0008332393,0.0,37.725,76272,0.018487751483917236,16
1.2104137,0.0060796365,0.0060796365,252.1596953868866,2060,0.3,0.0004971659,0.0,34.125,76784,0.005219399929046631,16
1.2427067,0.008864444,0.008864444,253.82903623580933,2071,0.325,0.00087391975,0.0,36.225,77309,0.01195824146270752,11
1.216937,0.0066941604,0.0066941604,255.56831860542297,2090,0.3,0.00022239726,0.0,35.125,77815,0.01926976442337036,19
1.2305477,0.010539882,0.010539882,257.1533989906311,2105,0.3,0.0010166868,0.0,35.825,78328,0.02253103256225586,15
1.2188709,0.007050276,0.007050276,258.902889251709,2127,0.1,0.00048227195,0.0,27.05,78828,-0.02052927017211914,22
1.2628719,0.007219172,0.007219172,260.56610679626465,2135,0.275,0.00065414637,0.0,35.1,79334,0.009043335914611816,8
1.2509143,0.01100653,0.01100653,262.22223114967346,2148,0.3,0.0010698021,0.0,36.325,79850,0.03354346752166748,13
1.2474012,0.010180507,0.010180507,264.0011613368988,2161,0.425,0.0011254952,0.0,41.9,80370,0.020640432834625244,13
1.2495286,0.009907246,0.009907246,265.6599476337433,2171,0.55,0.0008783026,0.0,47.425,80892,-0.012767910957336426,10
1.2415043,0.0010959357,0.0010959357,267.40538716316223,2184,0.425,0.00070657214,0.0,40.775,81391,0.03960299491882324,13
1.2339289,0.009233512,0.009233512,269.1691572666168,2201,0.375,0.00085769943,0.0,38.4,81906,0.02741760015487671,17
1.2557588,0.005399607,0.005399607,270.85352516174316,2212,0.35,0.00035480002,0.0,37.775,82426,0.02132636308670044,11
1.2134066,0.0037234798,0.0037234798,272.7476770877838,2226,0.3,0.000751918,0.0,35.2,82896,0.020219862461090088,14
1.2339516,0.005286325,0.005286325,274.556587934494,2241,0.35,0.0004424495,0.0,37.525,83407,0.0254896879196167,15
1.2640393,0.0030320482,0.0030320482,276.31367564201355,2251,0.375,0.0006337977,0.0,38.65,83949,0.02356034517288208,10
1.2474158,0.0050671697,0.0050671697,277.9625885486603,2263,0.425,0.0012815254,0.0,41.075,84395,0.036489248275756836,12
1.2363111,0.010621563,0.010621563,279.64767050743103,2271,0.55,0.001127282,0.0,46.15,84950,-0.010625123977661133,8
1.2508584,0.0056748074,0.0056748074,281.40732884407043,2288,0.45,0.00023590082,0.0,41.9,85483,0.10426390171051025,17
1.2180752,0.006489508,0.006489508,283.16342544555664,2305,0.35,0.0003457531,0.0,36.95,86016,0.0047737956047058105,17
1.2150522,0.004078202,0.004078202,284.7832500934601,2321,0.2,0.0005827187,0.0,29.9,86520,0.011616647243499756,16
1.2155827,0.005613029,0.005613029,286.437623500824,2335,0.25,0.00021693694,0.0,31.725,86984,0.006998300552368164,14
1.2602696,0.0095043,0.0095043,288.1383466720581,2344,0.35,0.0013097307,0.0,36.825,87466,0.003084838390350342,9
1.2392236,0.0053161774,0.0053161774,289.87292647361755,2357,0.425,0.00034523103,0.0,40.575,88055,0.019532084465026855,13
1.2693835,0.010957692,0.010957692,291.48939323425293,2364,0.55,0.0012543694,0.0,46.35,88512,-0.016549229621887207,7
1.2045695,0.011487402,0.011487402,293.09388422966003,2380,0.425,0.0011933517,0.0,40.675,89001,0.012644648551940918,16
1.2455425,0.011705503,0.011705503,294.6882085800171,2393,0.425,0.0008953864,0.0,40.625,89590,0.01987481117248535,13
1.1726744,0.0066542625,0.0066542625,296.3410394191742,2415,0.225,0.00021093684,0.0,32.025,90094,-0.03746318817138672,22
1.203972,0.0047780722,0.0047780722,298.0313730239868,2428,0.15,0.00030561478,0.0,28.225,90535,0.0020254850387573242,13
1.1972117,0.010495126,0.010495126,299.7915713787079,2444,0.25,0.0006262028,0.0,31.875,91118,0.011229395866394043,16
1.1729795,0.00092656165,0.00092656165,301.61138439178467,2464,0.15,0.00019787939,0.0,28.175,91572,0.024012386798858643,20
1.2427304,0.010452956,0.010452956,303.21478605270386,2473,0.325,0.0010779172,0.0,35.5,92143,-0.011906743049621582,9
1.2908888,0.006352432,0.006352432,305.0580747127533,2479,0.45,0.0008308063,0.0,41.25,92580,-0.006606936454772949,6
1.2835946,0.0015443973,0.0015443973,306.6670699119568,2488,0.6,0.0011571654,0.0,48.925,93165,-0.0016170740127563477,9
1.2560135,0.007652141,0.007652141,308.3231806755066,2503,0.725,0.000989601,0.0,53.675,93696,0.014448165893554688,15
