policy_entropy,eprewmean,clipfrac,fps,time_elapsed,eplenmean,nupdates,value_loss,approxkl,serial_timesteps,explained_variance,total_timesteps,policy_loss
1.3286542,1.58,0.063964844,899,101.95949506759644,185.5,85,0.014088763,0.0016800754,10880,0.9006694480776787,87040,-0.004129817
1.325904,1.55,0.13305664,893,103.10539770126343,183.78,86,0.020059912,0.0023685012,11008,0.7983349561691284,88064,-0.0045446274
1.3163621,1.53,0.0871582,896,104.24824595451355,184.21,87,0.01979702,0.0015615417,11136,0.7880253046751022,89088,-0.005361879
1.3268185,1.7,0.080566406,895,105.3926272392273,191.49,88,0.018998954,0.001395334,11264,0.809770867228508,90112,-0.0037159766
1.3304262,1.84,0.11376953,871,106.5679087638855,194.18,89,0.014791366,0.0018811815,11392,0.8283333480358124,91136,-0.0053073135
1.3301746,1.91,0.110839844,894,107.71362805366516,197.06,90,0.018759917,0.0020019256,11520,0.784529522061348,92160,-0.005558643
1.3231174,1.95,0.048095703,927,108.8178505897522,198.21,91,0.03575947,0.00091454503,11648,0.5830978751182556,93184,-0.0028432077
1.314527,2.09,0.13647461,889,109.96899104118347,203.55,92,0.024363745,0.0025509892,11776,0.5477093756198883,94208,-0.0067380164
1.3074458,2.08,0.1184082,869,111.14746642112732,204.06,93,0.029568743,0.0022712902,11904,0.6957988142967224,95232,-0.005404285
1.2955968,2.03,0.033935547,924,112.25565218925476,201.86,94,0.023713902,0.0010280217,12032,0.7589493095874786,96256,-0.004534552
1.2850826,2.08,0.10107422,943,113.34122943878174,204.13,95,0.015520134,0.0018594571,12160,0.844876304268837,97280,-0.0052206162
1.2890714,2.25,0.115478516,923,114.45085453987122,211.65,96,0.018011857,0.0019694222,12288,0.8079688549041748,98304,-0.006529005
1.2697829,2.24,0.053710938,901,115.58731341362,211.36,97,0.016447596,0.0016816078,12416,0.8336595445871353,99328,-0.0040966524
1.2639548,2.44,0.09106445,914,116.70791888237,218.97,98,0.01323708,0.0018028268,12544,0.8910217806696892,100352,-0.0050223013
1.2671618,2.41,0.115478516,936,117.80147767066956,217.54,99,0.01150598,0.0025340077,12672,0.8770059272646904,101376,-0.0056755263
1.281,2.61,0.103515625,885,118.95766305923462,226.3,100,0.011520978,0.001866315,12800,0.8669384717941284,102400,-0.005808727
1.2826167,2.65,0.09082031,873,120.1299741268158,228.12,101,0.018921642,0.0017868009,12928,0.8044313192367554,103424,-0.0049037565
1.2722694,2.53,0.092285156,897,121.27096843719482,223.98,102,0.02153666,0.00197087,13056,0.7364168465137482,104448,-0.0043096915
1.2472887,2.64,0.068359375,923,122.38067030906677,226.92,103,0.022371436,0.0013838029,13184,0.7825888395309448,105472,-0.0067920787
1.2610521,2.85,0.06225586,898,123.52020716667175,234.11,104,0.020837607,0.0012982064,13312,0.7662463933229446,106496,-0.0054880627
1.2547535,2.88,0.05834961,936,124.61377596855164,235.15,105,0.037195873,0.0012314885,13440,0.6354256868362427,107520,-0.004644149
1.2446437,3.05,0.118896484,915,125.73216819763184,241.07,106,0.024065137,0.0021772543,13568,0.7307479083538055,108544,-0.004833103
1.2375242,3.11,0.10595703,887,126.88654088973999,243.75,107,0.031140814,0.0020509309,13696,0.7144538760185242,109568,-0.0053063855
1.2503926,3.18,0.10253906,862,128.07373046875,247.06,108,0.028057273,0.0018772436,13824,0.6504117548465729,110592,-0.0056868754
1.2376529,3.29,0.122802734,895,129.21739053726196,250.81,109,0.020963524,0.0022901567,13952,0.7014226913452148,111616,-0.0078031113
1.2436717,3.34,0.13208008,919,130.33135533332825,252.19,110,0.0424002,0.0022250721,14080,0.5533946752548218,112640,-0.006341415
1.2354345,3.26,0.041015625,919,131.4456295967102,247.88,111,0.035886414,0.0010027434,14208,0.6641122698783875,113664,-0.0042009405
