time_elapsed,approxkl,fps,nupdates,clipfrac,total_timesteps,explained_variance,serial_timesteps,eplenmean,eprewmean,policy_entropy,value_loss,policy_loss
99.94698309898376,0.012536863,1467,71,0.15766601,145408,0.8725719153881073,145408,50.0,-13.00384816,-0.95961696,0.0001916528,-0.012628834
101.38269829750061,0.014195606,1426,72,0.17250976,147456,0.7820730358362198,147456,50.0,-13.3402563,-1.0001799,0.00030180396,-0.01378542
102.91419219970703,0.010974517,1337,73,0.13681641,149504,0.8419715762138367,149504,50.0,-13.200690240000004,-1.0268793,0.00021591208,-0.010246632
104.31999921798706,0.011989659,1457,74,0.15473633,151552,0.8792519345879555,151552,50.0,-12.65540315,-1.0541975,0.00014259091,-0.0104689095
105.70908308029175,0.015081783,1474,75,0.1807129,153600,0.8990686759352684,153600,50.0,-12.529216619999998,-1.0833478,0.00013210444,-0.012516402
107.07336640357971,0.011898743,1501,76,0.15092774,155648,0.8187254220247269,155648,50.0,-12.308419220000001,-1.1084977,0.00019018074,-0.0121701835
108.4463381767273,0.011719504,1492,77,0.15122071,157696,0.9108508303761482,157696,50.0,-12.989418629999998,-1.138015,0.00012933699,-0.011445006
109.79615783691406,0.0109210005,1517,78,0.13466796,159744,0.8715818077325821,159744,50.0,-13.053727440000005,-1.1843449,0.00018517757,-0.008381998
111.16468143463135,0.013810487,1496,79,0.17592773,161792,0.8785020634531975,161792,50.0,-12.764119820000001,-1.2215275,0.00015264374,-0.012678427
112.55156469345093,0.01397761,1477,80,0.17167969,163840,0.8739745616912842,163840,50.0,-12.20949521,-1.2485932,0.00018644967,-0.009529749
113.91051316261292,0.016311048,1507,81,0.20268555,165888,0.9003692716360092,165888,50.0,-12.484366489999998,-1.2782795,0.00015021786,-0.012651792
115.35543274879456,0.014542642,1417,82,0.18413086,167936,0.8780033960938454,167936,50.0,-12.52247252,-1.322176,0.00018707788,-0.006966906
116.74550724029541,0.012128351,1473,83,0.15732422,169984,0.8854663446545601,169984,50.0,-12.2478056,-1.3623621,0.0001355492,-0.00901008
118.1460382938385,0.013290467,1462,84,0.16621093,172032,0.9048252925276756,172032,50.0,-11.789040320000002,-1.3855206,0.00012940721,-0.009339662
119.51254868507385,0.013536559,1499,85,0.1696289,174080,0.9041819274425507,174080,50.0,-12.11208202,-1.415394,0.00014727675,-0.010562016
120.97108125686646,0.014129083,1404,86,0.17299804,176128,0.8882501572370529,176128,50.0,-11.708611470000001,-1.4537871,0.000120527184,-0.0089612445
122.35202097892761,0.016265182,1483,87,0.20668945,178176,0.8888983055949211,178176,50.0,-11.493589639999998,-1.486675,0.0001335959,-0.0135939
123.7955539226532,0.013792542,1419,88,0.17050782,180224,0.9164713248610497,180224,50.0,-11.42603619,-1.4999838,0.000110406705,-0.01142005
125.14417624473572,0.016707856,1519,89,0.20424804,182272,0.9235494509339333,182272,50.0,-11.803495919999998,-1.5217159,0.00011538986,-0.012653634
126.55521655082703,0.015958171,1451,90,0.20004883,184320,0.9215976670384407,184320,50.0,-11.648838030000002,-1.5634948,0.000113494854,-0.0059787766
127.93922567367554,0.0129673155,1480,91,0.1605957,186368,0.8790909424424171,186368,50.0,-11.11865685,-1.6027092,0.0001567802,-0.006309688
